Salary_Rank,uid,Player,First_Name,Last_Name,Player_Position,Abrv,Team,Salary
1.0,Kirk CousinsQB,Kirk Cousins,Kirk,Cousins,QB,MIN,Minnesota Vikings,27500000
2.0,Marcus MariotaQB,Marcus Mariota,Marcus,Mariota,QB,TEN,Tennessee Titans,20922000
2.0,Jameis WinstonQB,Jameis Winston,Jameis,Winston,QB,TB,Tampa Bay Buccaneers,20922000
4.0,Derek CarrQB,Derek Carr,Derek,Carr,QB,LV,Las Vegas Raiders,19900000
5.0,Joe FlaccoQB,Joe Flacco,Joe,Flacco,QB,DEN,Denver Broncos,18500000
6.0,Jimmy GaroppoloQB,Jimmy Garoppolo,Jimmy,Garoppolo,QB,SF,San Francisco 49ers,17200000
7.0,Von MillerLB,Von Miller,Von,Miller,LB,DEN,Denver Broncos,17000000
7.0,Melvin IngramDE,Melvin Ingram,Melvin,Ingram,DE,LAC,Los Angeles Chargers,17000000
7.0,Mike EvansWR,Mike Evans,Mike,Evans,WR,TB,Tampa Bay Buccaneers,17000000
10.0,Odell BeckhamWR,Odell Beckham,Odell,Beckham,WR,CLE,Cleveland Browns,16750000
11.0,Chandler JonesDE,Chandler Jones,Chandler,Jones,DE,ARI,Arizona Cardinals,16500000
12.0,Cam NewtonQB,Cam Newton,Cam,Newton,QB,CAR,Carolina Panthers,16200000
13.0,Andy DaltonQB,Andy Dalton,Andy,Dalton,QB,CIN,Cincinnati Bengals,16000000
14.0,Jadeveon ClowneyDE,Jadeveon Clowney,Jadeveon,Clowney,DE,SEA,Seattle Seahawks,15967200
15.0,Olivier VernonDE,Olivier Vernon,Olivier,Vernon,DE,CLE,Cleveland Browns,15250000
16.0,Grady JarrettDT,Grady Jarrett,Grady,Jarrett,DT,ATL,Atlanta Falcons,15209000
17.0,Antonio BrownWR,Antonio Brown,Antonio,Brown,WR,NE,New England Patriots,14625000
18.0,Taylor LewanOT,Taylor Lewan,Taylor,Lewan,OT,TEN,Tennessee Titans,14500000
19.0,Leonard WilliamsDT,Leonard Williams,Leonard,Williams,DT,2TM,,14200000
20.0,Tom BradyQB,Tom Brady,Tom,Brady,QB,NE,New England Patriots,14000000
21.0,Amari CooperWR,Amari Cooper,Amari,Cooper,WR,DAL,Dallas Cowboys,13924000
22.0,Jason Pierre-PaulDE,Jason Pierre-Paul,Jason,Pierre-Paul,DE,TB,Tampa Bay Buccaneers,13650000
23.0,Matthew StaffordQB,Matthew Stafford,Matthew,Stafford,QB,DET,Detroit Lions,13500000
24.0,Reshad JonesDB,Reshad Jones,Reshad,Jones,DB,MIA,Miami Dolphins,13015000
25.0,A.J. BouyeCB,A.J. Bouye,A.J.,Bouye,CB,JAX,Jacksonville Jaguars,13000000
25.0,Andrew NorwellG,Andrew Norwell,Andrew,Norwell,G,JAX,Jacksonville Jaguars,13000000
25.0,T.Y. HiltonWR,T.Y. Hilton,T.Y.,Hilton,WR,IND,Indianapolis Colts,13000000
25.0,Russell OkungT,Russell Okung,Russell,Okung,T,LAC,Los Angeles Chargers,13000000
25.0,J.J. WattDE,J.J. Watt,J.J.,Watt,DE,HOU,Houston Texans,13000000
30.0,Nate SolderT,Nate Solder,Nate,Solder,T,NYG,New York Giants,12900000
31.0,Vic BeasleyOLB,Vic Beasley,Vic,Beasley,OLB,ATL,Atlanta Falcons,12810000
32.0,Darius SlayCB,Darius Slay,Darius,Slay,CB,DET,Detroit Lions,12550000
33.0,Brandon ScherffG,Brandon Scherff,Brandon,Scherff,G,WAS,Washington Redskins,12525000
34.0,Kawann ShortDT,Kawann Short,Kawann,Short,DT,CAR,Carolina Panthers,12500000
34.0,Jarvis LandryWR,Jarvis Landry,Jarvis,Landry,WR,CLE,Cleveland Browns,12500000
34.0,DeAndre HopkinsWR,DeAndre Hopkins,DeAndre,Hopkins,WR,HOU,Houston Texans,12500000
37.0,Calais CampbellDE,Calais Campbell,Calais,Campbell,DE,JAX,Jacksonville Jaguars,12000000
38.0,Sammy WatkinsWR,Sammy Watkins,Sammy,Watkins,WR,KC,Kansas City Chiefs,11950000
39.0,Alshon JefferyWR,Alshon Jeffery,Alshon,Jeffery,WR,PHI,Philadelphia Eagles,11750000
40.0,Eli ManningQB,Eli Manning,Eli,Manning,QB,NYG,New York Giants,11500000
41.0,Philip RiversQB,Philip Rivers,Philip,Rivers,QB,LAC,Los Angeles Chargers,11000000
41.0,Josh NormanCB,Josh Norman,Josh,Norman,CB,WAS,Washington Redskins,11000000
41.0,Patrick PetersonCB,Patrick Peterson,Patrick,Peterson,CB,ARI,Arizona Cardinals,11000000
41.0,Larry FitzgeraldWR,Larry Fitzgerald,Larry,Fitzgerald,WR,ARI,Arizona Cardinals,11000000
45.0,Terron ArmsteadOT,Terron Armstead,Terron,Armstead,OT,NO,New Orleans Saints,10700000
46.0,Jurrell CaseyDL,Jurrell Casey,Jurrell,Casey,DL,TEN,Tennessee Titans,10550000
47.0,Malcolm ButlerCB,Malcolm Butler,Malcolm,Butler,CB,TEN,Tennessee Titans,10500000
47.0,Bobby WagnerILB,Bobby Wagner,Bobby,Wagner,ILB,SEA,Seattle Seahawks,10500000
47.0,Ryan KerriganDE,Ryan Kerrigan,Ryan,Kerrigan,DE,WAS,Washington Redskins,10500000
50.0,Xavier RhodesCB,Xavier Rhodes,Xavier,Rhodes,CB,MIN,Minnesota Vikings,10400000
51.0,Eric FisherOT,Eric Fisher,Eric,Fisher,OT,KC,Kansas City Chiefs,10350000
52.0,Emmanuel SandersWR,Emmanuel Sanders,Emmanuel,Sanders,WR,2TM,,10250000
52.0,Andrew WhitworthT,Andrew Whitworth,Andrew,Whitworth,T,LAR,Los Angeles Rams,10250000
54.0,Janoris JenkinsCB,Janoris Jenkins,Janoris,Jenkins,CB,2TM,,10150000
55.0,Luke KuechlyILB,Luke Kuechly,Luke,Kuechly,ILB,CAR,Carolina Panthers,10000059
56.0,Zack MartinG,Zack Martin,Zack,Martin,G,DAL,Dallas Cowboys,10000000
56.0,Joe HadenDB,Joe Haden,Joe,Haden,DB,PIT,Pittsburgh Steelers,10000000
56.0,Tyron SmithOT,Tyron Smith,Tyron,Smith,OT,DAL,Dallas Cowboys,10000000
56.0,Keenan AllenWR,Keenan Allen,Keenan,Allen,WR,LAC,Los Angeles Chargers,10000000
56.0,Kevin ZeitlerG,Kevin Zeitler,Kevin,Zeitler,G,NYG,New York Giants,10000000
56.0,Ryan JensenT,Ryan Jensen,Ryan,Jensen,T,TB,Tampa Bay Buccaneers,10000000
62.0,Allen RobinsonWR,Allen Robinson,Allen,Robinson,WR,CHI,Chicago Bears,9900000
63.0,Lavonte DavidOLB,Lavonte David,Lavonte,David,OLB,TB,Tampa Bay Buccaneers,9750000
64.0,Kelechi OsemeleT,Kelechi Osemele,Kelechi,Osemele,T,NYJ,New York Jets,9700000
65.0,D.J. HumphriesOT,D.J. Humphries,D.J.,Humphries,OT,ARI,Arizona Cardinals,9625000
65.0,Andrus PeatOT,Andrus Peat,Andrus,Peat,OT,NO,New Orleans Saints,9625000
67.0,Julio JonesWR,Julio Jones,Julio,Jones,WR,ATL,Atlanta Falcons,9600000
68.0,Jimmy SmithCB,Jimmy Smith,Jimmy,Smith,CB,BAL,Baltimore Ravens,9500000
68.0,Logan RyanCB,Logan Ryan,Logan,Ryan,CB,TEN,Tennessee Titans,9500000
68.0,Desmond TrufantCB,Desmond Trufant,Desmond,Trufant,CB,ATL,Atlanta Falcons,9500000
71.0,Danielle HunterDE,Danielle Hunter,Danielle,Hunter,DE,MIN,Minnesota Vikings,9400000
71.0,Riley ReiffOT,Riley Reiff,Riley,Reiff,OT,MIN,Minnesota Vikings,9400000
73.0,Nelson AgholorWR,Nelson Agholor,Nelson,Agholor,WR,PHI,Philadelphia Eagles,9387000
74.0,Brandon WilliamsDT,Brandon Williams,Brandon,Williams,DT,BAL,Baltimore Ravens,9250000
75.0,Shaq ThompsonOLB,Shaq Thompson,Shaq,Thompson,OLB,CAR,Carolina Panthers,9232000
75.0,Bud DupreeDE,Bud Dupree,Bud,Dupree,DE,PIT,Pittsburgh Steelers,9232000
77.0,Dre KirkpatrickCB,Dre Kirkpatrick,Dre,Kirkpatrick,CB,CIN,Cincinnati Bengals,9150000
78.0,Aaron DonaldDT,Aaron Donald,Aaron,Donald,DT,LAR,Los Angeles Rams,9108000
79.0,Damarious RandallFS,Damarious Randall,Damarious,Randall,FS,CLE,Cleveland Browns,9069000
79.0,Marcus PetersCB,Marcus Peters,Marcus,Peters,CB,2TM,,9069000
79.0,Trae WaynesCB,Trae Waynes,Trae,Waynes,CB,MIN,Minnesota Vikings,9069000
82.0,Arik ArmsteadDE,Arik Armstead,Arik,Armstead,DE,SF,San Francisco 49ers,9046000
83.0,Ricky WagnerOT,Ricky Wagner,Ricky,Wagner,OT,DET,Detroit Lions,9000000
83.0,Devin McCourtyDB,Devin McCourty,Devin,McCourty,DB,NE,New England Patriots,9000000
85.0,Stefon DiggsWR,Stefon Diggs,Stefon,Diggs,WR,MIN,Minnesota Vikings,8900000
85.0,Linval JosephDT,Linval Joseph,Linval,Joseph,DT,MIN,Minnesota Vikings,8900000
87.0,Cameron HeywardDE,Cameron Heyward,Cameron,Heyward,DE,PIT,Pittsburgh Steelers,8750000
88.0,Alex MackC,Alex Mack,Alex,Mack,C,ATL,Atlanta Falcons,8500000
88.0,David BakhtiariOT,David Bakhtiari,David,Bakhtiari,OT,GB,Green Bay Packers,8500000
88.0,Prince AmukamaraCB,Prince Amukamara,Prince,Amukamara,CB,CHI,Chicago Bears,8500000
91.0,Harrison SmithFS,Harrison Smith,Harrison,Smith,FS,MIN,Minnesota Vikings,8350000
92.0,Rodney HudsonOL,Rodney Hudson,Rodney,Hudson,OL,LV,Las Vegas Raiders,8250000
93.0,Ronald LearyG,Ronald Leary,Ronald,Leary,G,DEN,Denver Broncos,8150000
94.0,Malcolm JenkinsDB,Malcolm Jenkins,Malcolm,Jenkins,DB,PHI,Philadelphia Eagles,8100000
95.0,Joe StaleyT,Joe Staley,Joe,Staley,T,SF,San Francisco 49ers,8050000
96.0,Trumaine JohnsonCB,Trumaine Johnson,Trumaine,Johnson,CB,NYJ,New York Jets,8000000
96.0,Tony JeffersonFS,Tony Jefferson,Tony,Jefferson,FS,BAL,Baltimore Ravens,8000000
96.0,Kelvin BeachumT,Kelvin Beachum,Kelvin,Beachum,T,NYJ,New York Jets,8000000
96.0,Cameron JordanDE,Cameron Jordan,Cameron,Jordan,DE,NO,New Orleans Saints,8000000
96.0,Duane BrownT,Duane Brown,Duane,Brown,T,SEA,Seattle Seahawks,8000000
96.0,Sheldon RichardsonDT,Sheldon Richardson,Sheldon,Richardson,DT,CLE,Cleveland Browns,8000000
96.0,Zach ErtzTE,Zach Ertz,Zach,Ertz,TE,PHI,Philadelphia Eagles,8000000
96.0,Casey HaywardDB,Casey Hayward,Casey,Hayward,DB,LAC,Los Angeles Chargers,8000000
96.0,Brandon BrooksG,Brandon Brooks,Brandon,Brooks,G,PHI,Philadelphia Eagles,8000000
96.0,Akiem HicksDE,Akiem Hicks,Akiem,Hicks,DE,CHI,Chicago Bears,8000000
96.0,Aqib TalibDB,Aqib Talib,Aqib,Talib,DB,LAR,Los Angeles Rams,8000000
96.0,Geno AtkinsDT,Geno Atkins,Geno,Atkins,DT,CIN,Cincinnati Bengals,8000000
96.0,Derek WolfeDT,Derek Wolfe,Derek,Wolfe,DT,DEN,Denver Broncos,8000000
109.0,Kenny StillsWR,Kenny Stills,Kenny,Stills,WR,HOU,Houston Texans,7975000
110.0,Charles LenoOG,Charles Leno,Charles,Leno,OG,CHI,Chicago Bears,7900000
111.0,Mike DanielsDT,Mike Daniels,Mike,Daniels,DT,DET,Detroit Lions,7800000
111.0,Chris HarrisCB,Chris Harris,Chris,Harris,CB,DEN,Denver Broncos,7800000
113.0,Michael BrockersDT,Michael Brockers,Michael,Brockers,DT,LAR,Los Angeles Rams,7777777
114.0,Larry WarfordOG,Larry Warford,Larry,Warford,OG,NO,New Orleans Saints,7650000
115.0,Aaron ColvinCB,Aaron Colvin,Aaron,Colvin,CB,2TM,,7500000
115.0,T.J. CarrieCB,T.J. Carrie,T.J.,Carrie,CB,CLE,Cleveland Browns,7500000
115.0,Travis KelceTE,Travis Kelce,Travis,Kelce,TE,KC,Kansas City Chiefs,7500000
115.0,Jabaal SheardDL,Jabaal Sheard,Jabaal,Sheard,DL,IND,Indianapolis Colts,7500000
119.0,Kyle RudolphTE,Kyle Rudolph,Kyle,Rudolph,TE,MIN,Minnesota Vikings,7275000
120.0,Marqise LeeWR,Marqise Lee,Marqise,Lee,WR,JAX,Jacksonville Jaguars,7250000
120.0,Cordy GlennT,Cordy Glenn,Cordy,Glenn,T,CIN,Cincinnati Bengals,7250000
122.0,Star LotuleleiDT,Star Lotulelei,Star,Lotulelei,DT,BUF,Buffalo Bills,7150000
123.0,David DeCastroG,David DeCastro,David,DeCastro,G,PIT,Pittsburgh Steelers,7070000
124.0,Richard ShermanDB,Richard Sherman,Richard,Sherman,DB,SF,San Francisco 49ers,7000000
124.0,Marshal YandaG,Marshal Yanda,Marshal,Yanda,G,BAL,Baltimore Ravens,7000000
124.0,Dont'a HightowerILB,Dont'a Hightower,Dont'a,Hightower,ILB,NE,New England Patriots,7000000
124.0,Cameron BrateTE,Cameron Brate,Cameron,Brate,TE,TB,Tampa Bay Buccaneers,7000000
124.0,Tyrone CrawfordDE,Tyrone Crawford,Tyrone,Crawford,DE,DAL,Dallas Cowboys,7000000
124.0,Christian KirkseyOLB,Christian Kirksey,Christian,Kirksey,OLB,CLE,Cleveland Browns,7000000
124.0,Donovan SmithOT,Donovan Smith,Donovan,Smith,OT,TB,Tampa Bay Buccaneers,7000000
131.0,Albert WilsonWR,Albert Wilson,Albert,Wilson,WR,MIA,Miami Dolphins,6975000
132.0,Jerry HughesDE,Jerry Hughes,Jerry,Hughes,DE,BUF,Buffalo Bills,6800000
133.0,Gabe JacksonOG,Gabe Jackson,Gabe,Jackson,OG,LV,Las Vegas Raiders,6750000
133.0,Damon HarrisonDT,Damon Harrison,Damon,Harrison,DT,DET,Detroit Lions,6750000
135.0,Trey BurtonTE,Trey Burton,Trey,Burton,TE,CHI,Chicago Bears,6700000
136.0,La'el CollinsOT,La'el Collins,La'el,Collins,OT,DAL,Dallas Cowboys,6516750
137.0,Joel BitonioOT,Joel Bitonio,Joel,Bitonio,OT,CLE,Cleveland Browns,6500000
137.0,Marvin JonesWR,Marvin Jones,Marvin,Jones,WR,DET,Detroit Lions,6500000
137.0,Zach FultonOG,Zach Fulton,Zach,Fulton,OG,HOU,Houston Texans,6500000
137.0,Jake MatthewsOT,Jake Matthews,Jake,Matthews,OT,ATL,Atlanta Falcons,6500000
137.0,Mario AddisonDE,Mario Addison,Mario,Addison,DE,CAR,Carolina Panthers,6500000
137.0,Anthony HitchensOLB,Anthony Hitchens,Anthony,Hitchens,OLB,KC,Kansas City Chiefs,6500000
143.0,Kiko AlonsoILB,Kiko Alonso,Kiko,Alonso,ILB,NO,New Orleans Saints,6485000
144.0,Everson GriffenDE,Everson Griffen,Everson,Griffen,DE,MIN,Minnesota Vikings,6400000
145.0,Byron JonesCB,Byron Jones,Byron,Jones,CB,DAL,Dallas Cowboys,6266000
146.0,Anthony CastonzoLT,Anthony Castonzo,Anthony,Castonzo,LT,IND,Indianapolis Colts,6250000
147.0,Laurent Duvernay-TardifOT,Laurent Duvernay-Tardif,Laurent,Duvernay-Tardif,OT,KC,Kansas City Chiefs,6203000
148.0,LeSean McCoyRB,LeSean McCoy,LeSean,McCoy,RB,KC,Kansas City Chiefs,6175000
149.0,Chris HubbardG,Chris Hubbard,Chris,Hubbard,G,CLE,Cleveland Browns,6150000
150.0,Mike PounceyC,Mike Pouncey,Mike,Pouncey,C,LAC,Los Angeles Chargers,6000000
150.0,Brian WintersOG,Brian Winters,Brian,Winters,OG,NYJ,New York Jets,6000000
150.0,Benardrick McKinneyILB,Benardrick McKinney,Benardrick,McKinney,ILB,HOU,Houston Texans,6000000
150.0,Travis FrederickC,Travis Frederick,Travis,Frederick,C,DAL,Dallas Cowboys,6000000
150.0,Robert WoodsWR,Robert Woods,Robert,Woods,WR,LAR,Los Angeles Rams,6000000
150.0,Robert QuinnDE,Robert Quinn,Robert,Quinn,DE,DAL,Dallas Cowboys,6000000
150.0,Mitchell SchwartzT,Mitchell Schwartz,Mitchell,Schwartz,T,KC,Kansas City Chiefs,6000000
150.0,Stephon TuittDT,Stephon Tuitt,Stephon,Tuitt,DT,PIT,Pittsburgh Steelers,6000000
150.0,DaQuan JonesDT,DaQuan Jones,DaQuan,Jones,DT,TEN,Tennessee Titans,6000000
150.0,Mohamed SanuWR,Mohamed Sanu,Mohamed,Sanu,WR,2TM,,6000000
160.0,Demario DavisOLB,Demario Davis,Demario,Davis,OLB,NO,New Orleans Saints,5950000
161.0,Adam ThielenWR,Adam Thielen,Adam,Thielen,WR,MIN,Minnesota Vikings,5850000
162.0,Danny TrevathanOLB,Danny Trevathan,Danny,Trevathan,OLB,CHI,Chicago Bears,5800000
162.0,Trent MurphyDE,Trent Murphy,Trent,Murphy,DE,BUF,Buffalo Bills,5800000
162.0,Bryan BulagaT,Bryan Bulaga,Bryan,Bulaga,T,GB,Green Bay Packers,5800000
165.0,D.J. HaydenCB,D.J. Hayden,D.J.,Hayden,CB,JAX,Jacksonville Jaguars,5750000
165.0,Whitney MercilusDE,Whitney Mercilus,Whitney,Mercilus,DE,HOU,Houston Texans,5750000
167.0,David JohnsonRB,David Johnson,David,Johnson,RB,ARI,Arizona Cardinals,5700000
168.0,Melvin GordonRB,Melvin Gordon,Melvin,Gordon,RB,LAC,Los Angeles Chargers,5605000
169.0,Bobby McCainCB,Bobby McCain,Bobby,McCain,CB,MIA,Miami Dolphins,5600000
170.0,Marcus CannonOL,Marcus Cannon,Marcus,Cannon,OL,NE,New England Patriots,5500000
170.0,Taylor GabrielWR,Taylor Gabriel,Taylor,Gabriel,WR,CHI,Chicago Bears,5500000
170.0,Brandon LinderOG,Brandon Linder,Brandon,Linder,OG,JAX,Jacksonville Jaguars,5500000
170.0,Greg RobinsonOT,Greg Robinson,Greg,Robinson,OT,CLE,Cleveland Browns,5500000
170.0,Weston RichburgC,Weston Richburg,Weston,Richburg,C,SF,San Francisco 49ers,5500000
170.0,J.C. TretterOG,J.C. Tretter,J.C.,Tretter,OG,CLE,Cleveland Browns,5500000
176.0,Trai TurnerOG,Trai Turner,Trai,Turner,OG,CAR,Carolina Panthers,5297000
177.0,Eric EbronTE,Eric Ebron,Eric,Ebron,TE,IND,Indianapolis Colts,5250000
177.0,Travis BenjaminWR,Travis Benjamin,Travis,Benjamin,WR,LAC,Los Angeles Chargers,5250000
177.0,Ndamukong SuhDT,Ndamukong Suh,Ndamukong,Suh,DT,TB,Tampa Bay Buccaneers,5250000
180.0,Jack DoyleTE,Jack Doyle,Jack,Doyle,TE,IND,Indianapolis Colts,5150000
181.0,Bradley RobyCB,Bradley Roby,Bradley,Roby,CB,HOU,Houston Texans,5000000
181.0,Ja'Wuan JamesOT,Ja'Wuan James,Ja'Wuan,James,OT,DEN,Denver Broncos,5000000
181.0,Paul RichardsonWR,Paul Richardson,Paul,Richardson,WR,WAS,Washington Redskins,5000000
181.0,Trent BrownOT,Trent Brown,Trent,Brown,OT,LV,Las Vegas Raiders,5000000
